subject,bias,absolute,group,group_c,time,time_c,hand,hand_c,degree
1,10,10,control,"-0,5",pre,"-0,5",right,"0,5",-24
1,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",-4
1,17,17,control,"-0,5",pre,"-0,5",right,"0,5",2
1,-8,8,control,"-0,5",pre,"-0,5",left,"-0,5",-28
1,0,0,control,"-0,5",pre,"-0,5",left,"-0,5",-20
1,9,9,control,"-0,5",pre,"-0,5",right,"0,5",-16
1,10,10,control,"-0,5",pre,"-0,5",right,"0,5",10
1,11,11,control,"-0,5",pre,"-0,5",right,"0,5",18
1,12,12,control,"-0,5",pre,"-0,5",right,"0,5",-8
1,13,13,control,"-0,5",pre,"-0,5",right,"0,5",26
1,2,2,control,"-0,5",pre,"-0,5",left,"-0,5",30
1,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",22
1,-1,1,control,"-0,5",pre,"-0,5",left,"-0,5",14
1,5,5,control,"-0,5",pre,"-0,5",left,"-0,5",6
1,0,0,control,"-0,5",pre,"-0,5",left,"-0,5",-12
1,9,9,control,"-0,5",pre,"-0,5",right,"0,5",-22
1,9,9,control,"-0,5",pre,"-0,5",right,"0,5",28
1,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",-26
1,"9,5","9,5",control,"-0,5",pre,"-0,5",right,"0,5",-30
1,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",-18
1,11,11,control,"-0,5",pre,"-0,5",right,"0,5",20
1,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",-10
1,-8,8,control,"-0,5",pre,"-0,5",left,"-0,5",24
1,17,17,control,"-0,5",pre,"-0,5",right,"0,5",12
1,12,12,control,"-0,5",pre,"-0,5",right,"0,5",4
1,-4,4,control,"-0,5",pre,"-0,5",left,"-0,5",16
1,8,8,control,"-0,5",pre,"-0,5",right,"0,5",-14
1,-9,9,control,"-0,5",pre,"-0,5",left,"-0,5",8
1,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",-2
1,"-3,5","3,5",control,"-0,5",pre,"-0,5",right,"0,5",-6
1,12,12,control,"-0,5",post,"0,5",right,"0,5",-4
1,0,0,control,"-0,5",post,"0,5",left,"-0,5",-16
1,"1,5","1,5",control,"-0,5",post,"0,5",left,"-0,5",-24
1,3,3,control,"-0,5",post,"0,5",left,"-0,5",-8
1,9,9,control,"-0,5",post,"0,5",left,"-0,5",10
1,"6,5","6,5",control,"-0,5",post,"0,5",right,"0,5",-20
1,12,12,control,"-0,5",post,"0,5",right,"0,5",30
1,11,11,control,"-0,5",post,"0,5",right,"0,5",-28
1,1,1,control,"-0,5",post,"0,5",left,"-0,5",18
1,13,13,control,"-0,5",post,"0,5",right,"0,5",22
1,8,8,control,"-0,5",post,"0,5",right,"0,5",6
1,3,3,control,"-0,5",post,"0,5",left,"-0,5",26
1,14,14,control,"-0,5",post,"0,5",right,"0,5",14
1,10,10,control,"-0,5",post,"0,5",right,"0,5",-12
1,0,0,control,"-0,5",post,"0,5",left,"-0,5",2
1,9,9,control,"-0,5",post,"0,5",right,"0,5",-18
1,-4,4,control,"-0,5",post,"0,5",left,"-0,5",20
1,3,3,control,"-0,5",post,"0,5",left,"-0,5",-14
1,12,12,control,"-0,5",post,"0,5",right,"0,5",-2
1,7,7,control,"-0,5",post,"0,5",right,"0,5",24
1,"8,5","8,5",control,"-0,5",post,"0,5",right,"0,5",-26
1,9,9,control,"-0,5",post,"0,5",right,"0,5",16
1,4,4,control,"-0,5",post,"0,5",left,"-0,5",4
1,2,2,control,"-0,5",post,"0,5",left,"-0,5",12
