"power_at_n" "id" "effect_size" "sd" "d"
"1" 0.36 1 -0.4 1 0.457243022796448
"2" 0.43 2 -0.4 1 0.445067796599916
"3" 0.32 3 -0.4 1 0.392851400523055
"4" 0.35 4 -0.4 1 0.426225958034023
"5" 0.33 5 -0.4 1 0.405237299245152
"6" 0.47 6 -0.4 1 0.452955367881407
"7" 0.39 7 -0.4 1 0.427669467057487
"8" 0.33 8 -0.4 1 0.380666712628641
"9" 0.39 9 -0.4 1 0.39871888663189
"10" 0.36 10 -0.4 1 0.403496152439993
"11" 0.37 11 -0.4 1 0.395545210133899
"12" 0.42 12 -0.4 1 0.403362005459903
"13" 0.54 13 -0.4 1 0.440742679624232
"14" 0.49 14 -0.4 1 0.396756645433733
"15" 0.53 15 -0.4 1 0.420099419725952
"16" 0.47 16 -0.4 1 0.399891242514877
"17" 0.48 17 -0.4 1 0.413977475132031
"18" 0.48 18 -0.4 1 0.401024051291291
"19" 0.61 19 -0.4 1 0.442958130903812
"20" 0.49 20 -0.4 1 0.371251552082214
"21" 0.46 21 -0.4 1 0.367048569204553
"22" 0.56 22 -0.4 1 0.395316312918369
"23" 0.51 23 -0.4 1 0.40767694583476
"24" 0.52 24 -0.4 1 0.396593370181546
"25" 0.52 25 -0.4 1 0.37927753446483
"26" 0.65 26 -0.4 1 0.42617749573468
"27" 0.55 27 -0.4 1 0.409580967266949
"28" 0.64 28 -0.4 1 0.405807946857165
"29" 0.68 29 -0.4 1 0.43819302360656
"30" 0.67 30 -0.4 1 0.442537408406291
"31" 0.71 31 -0.4 1 0.426964538981605
"32" 0.64 32 -0.4 1 0.396557552920914
"33" 0.66 33 -0.4 1 0.412427324622662
"34" 0.66 34 -0.4 1 0.399801713854186
"35" 0.7 35 -0.4 1 0.430336035700353
"36" 0.73 36 -0.4 1 0.413896201281994
"37" 0.68 37 -0.4 1 0.413289169471884
"38" 0.73 38 -0.4 1 0.429780341491403
"39" 0.67 39 -0.4 1 0.406060345742141
"40" 0.68 40 -0.4 1 0.406096387098427
"41" 0.66 41 -0.4 1 0.403390934781872
"42" 0.78 42 -0.4 1 0.445344396733258
"43" 0.75 43 -0.4 1 0.428130555439098
"44" 0.71 44 -0.4 1 0.387972605162322
"45" 0.7 45 -0.4 1 0.374710143652101
"46" 0.74 46 -0.4 1 0.409700363361423
"47" 0.73 47 -0.4 1 0.394106558606764
"48" 0.83 48 -0.4 1 0.430538222122877
"49" 0.74 49 -0.4 1 0.410786704661892
"50" 0.77 50 -0.4 1 0.4199000088471
"51" 0.8 51 -0.4 1 0.416355226291299
"52" 0.73 52 -0.4 1 0.401107123507312
"53" 0.73 53 -0.4 1 0.402447551178656
"54" 0.82 54 -0.4 1 0.429809046476249
"55" 0.82 55 -0.4 1 0.420781736292935
"56" 0.87 56 -0.4 1 0.414660151080496
"57" 0.8 57 -0.4 1 0.41665739790609
"58" 0.85 58 -0.4 1 0.428287395381743
"59" 0.75 59 -0.4 1 0.368988417500364
"60" 0.86 60 -0.4 1 0.429114427896427
"61" 0.81 61 -0.4 1 0.401734139086499
"62" 0.9 62 -0.4 1 0.419212259937747
"63" 0.85 63 -0.4 1 0.397704332280224
"64" 0.85 64 -0.4 1 0.389362290972142
"65" 0.76 65 -0.4 1 0.386719374575029
"66" 0.82 66 -0.4 1 0.391945158086879
"67" 0.85 67 -0.4 1 0.39453180837259
"68" 0.8 68 -0.4 1 0.392849053467055
"69" 0.86 69 -0.4 1 0.413997878259251
"70" 0.9 70 -0.4 1 0.424211394921786
"71" 0.85 71 -0.4 1 0.413615946331703
"72" 0.88 72 -0.4 1 0.408432205564792
"73" 0.85 73 -0.4 1 0.398077121923906
"74" 0.83 74 -0.4 1 0.381811011874945
"75" 0.85 75 -0.4 1 0.382385618468647
"76" 0.83 76 -0.4 1 0.379048780040849
"77" 0.92 77 -0.4 1 0.424410959565641
"78" 0.92 78 -0.4 1 0.415901943995116
"79" 0.91 79 -0.4 1 0.393610705351965
"80" 0.89 80 -0.4 1 0.411105781779854
"81" 0.84 81 -0.4 1 0.384747407445095
