"power_at_n" "id" "effect_size" "sd"
"1" 0.366 1 -0.4 1
"2" 0.354 2 -0.4 1
"3" 0.36 3 -0.4 1
"4" 0.372 4 -0.4 1
"5" 0.38 5 -0.4 1
"6" 0.4 6 -0.4 1
"7" 0.402 7 -0.4 1
"8" 0.414 8 -0.4 1
"9" 0.454 9 -0.4 1
"10" 0.486 10 -0.4 1
"11" 0.458 11 -0.4 1
"12" 0.438 12 -0.4 1
"13" 0.436 13 -0.4 1
"14" 0.49 14 -0.4 1
"15" 0.574 15 -0.4 1
"16" 0.514 16 -0.4 1
"17" 0.524 17 -0.4 1
"18" 0.538 18 -0.4 1
"19" 0.524 19 -0.4 1
"20" 0.518 20 -0.4 1
"21" 0.578 21 -0.4 1
"22" 0.546 22 -0.4 1
"23" 0.538 23 -0.4 1
"24" 0.592 24 -0.4 1
"25" 0.59 25 -0.4 1
"26" 0.598 26 -0.4 1
"27" 0.628 27 -0.4 1
"28" 0.608 28 -0.4 1
"29" 0.596 29 -0.4 1
"30" 0.644 30 -0.4 1
"31" 0.674 31 -0.4 1
"32" 0.648 32 -0.4 1
"33" 0.672 33 -0.4 1
"34" 0.648 34 -0.4 1
"35" 0.646 35 -0.4 1
"36" 0.67 36 -0.4 1
"37" 0.684 37 -0.4 1
"38" 0.686 38 -0.4 1
"39" 0.714 39 -0.4 1
"40" 0.68 40 -0.4 1
"41" 0.67 41 -0.4 1
"42" 0.672 42 -0.4 1
"43" 0.694 43 -0.4 1
"44" 0.738 44 -0.4 1
"45" 0.738 45 -0.4 1
"46" 0.728 46 -0.4 1
"47" 0.752 47 -0.4 1
"48" 0.72 48 -0.4 1
"49" 0.72 49 -0.4 1
"50" 0.758 50 -0.4 1
"51" 0.772 51 -0.4 1
"52" 0.776 52 -0.4 1
"53" 0.756 53 -0.4 1
"54" 0.752 54 -0.4 1
"55" 0.784 55 -0.4 1
"56" 0.782 56 -0.4 1
"57" 0.81 57 -0.4 1
"58" 0.786 58 -0.4 1
"59" 0.79 59 -0.4 1
"60" 0.794 60 -0.4 1
"61" 0.824 61 -0.4 1
"62" 0.794 62 -0.4 1
"63" 0.83 63 -0.4 1
"64" 0.844 64 -0.4 1
"65" 0.858 65 -0.4 1
"66" 0.87 66 -0.4 1
"67" 0.86 67 -0.4 1
"68" 0.82 68 -0.4 1
"69" 0.82 69 -0.4 1
"70" 0.854 70 -0.4 1
"71" 0.856 71 -0.4 1
"72" 0.85 72 -0.4 1
"73" 0.844 73 -0.4 1
"74" 0.838 74 -0.4 1
"75" 0.832 75 -0.4 1
"76" 0.858 76 -0.4 1
"77" 0.894 77 -0.4 1
"78" 0.886 78 -0.4 1
"79" 0.886 79 -0.4 1
"80" 0.876 80 -0.4 1
"81" 0.88 81 -0.4 1
"82" 0.872 82 -0.4 1
"83" 0.88 83 -0.4 1
"84" 0.898 84 -0.4 1
"85" 0.894 85 -0.4 1
"86" 0.874 86 -0.4 1
"87" 0.908 87 -0.4 1
"88" 0.886 88 -0.4 1
