"power_at_n" "es" "cor" "sd" "id"
"2...1" 0.11 -0.4 0.2 0.8 1
"3...2" 0.14 -0.4 0.2 0.8 2
"4...3" 0.18 -0.4 0.2 0.8 3
"5...4" 0.19 -0.4 0.2 0.8 4
"6...5" 0.24 -0.4 0.2 0.8 5
"7...6" 0.26 -0.4 0.2 0.8 6
"8...7" 0.27 -0.4 0.2 0.8 7
"9...8" 0.29 -0.4 0.2 0.8 8
"10...9" 0.26 -0.4 0.2 0.8 9
"11...10" 0.25 -0.4 0.2 0.8 10
"12...11" 0.45 -0.4 0.2 0.8 11
"13...12" 0.31 -0.4 0.2 0.8 12
"14...13" 0.42 -0.4 0.2 0.8 13
"15...14" 0.42 -0.4 0.2 0.8 14
"16...15" 0.45 -0.4 0.2 0.8 15
"17...16" 0.43 -0.4 0.2 0.8 16
"18...17" 0.56 -0.4 0.2 0.8 17
"19...18" 0.5 -0.4 0.2 0.8 18
"20...19" 0.56 -0.4 0.2 0.8 19
"21...20" 0.46 -0.4 0.2 0.8 20
"22...21" 0.6 -0.4 0.2 0.8 21
"23...22" 0.57 -0.4 0.2 0.8 22
"24...23" 0.69 -0.4 0.2 0.8 23
"25...24" 0.61 -0.4 0.2 0.8 24
"26...25" 0.69 -0.4 0.2 0.8 25
"27...26" 0.58 -0.4 0.2 0.8 26
"28...27" 0.66 -0.4 0.2 0.8 27
"29...28" 0.71 -0.4 0.2 0.8 28
"30...29" 0.7 -0.4 0.2 0.8 29
"31...30" 0.65 -0.4 0.2 0.8 30
"32...31" 0.8 -0.4 0.2 0.8 31
"33...32" 0.73 -0.4 0.2 0.8 32
"34...33" 0.77 -0.4 0.2 0.8 33
"35...34" 0.76 -0.4 0.2 0.8 34
"36...35" 0.78 -0.4 0.2 0.8 35
"37...36" 0.78 -0.4 0.2 0.8 36
"38...37" 0.78 -0.4 0.2 0.8 37
"39...38" 0.87 -0.4 0.2 0.8 38
"40...39" 0.88 -0.4 0.2 0.8 39
"41...40" 0.78 -0.4 0.2 0.8 40
"42...41" 0.84 -0.4 0.2 0.8 41
"43...42" 0.82 -0.4 0.2 0.8 42
"44...43" 0.79 -0.4 0.2 0.8 43
"45...44" 0.76 -0.4 0.2 0.8 44
"46...45" 0.83 -0.4 0.2 0.8 45
"47...46" 0.86 -0.4 0.2 0.8 46
"48...47" 0.85 -0.4 0.2 0.8 47
"49...48" 0.93 -0.4 0.2 0.8 48
"50...49" 0.89 -0.4 0.2 0.8 49
"51...50" 0.86 -0.4 0.2 0.8 50
"52...51" 0.87 -0.4 0.2 0.8 51
"53...52" 0.92 -0.4 0.2 0.8 52
"54...53" 0.93 -0.4 0.2 0.8 53
"55...54" 0.9 -0.4 0.2 0.8 54
"56...55" 0.89 -0.4 0.2 0.8 55
"57...56" 0.88 -0.4 0.2 0.8 56
"58...57" 0.96 -0.4 0.2 0.8 57
"2...58" 0.11 -0.4 0.4 0.8 1
"3...59" 0.14 -0.4 0.4 0.8 2
"4...60" 0.18 -0.4 0.4 0.8 3
"5...61" 0.19 -0.4 0.4 0.8 4
"6...62" 0.24 -0.4 0.4 0.8 5
"7...63" 0.26 -0.4 0.4 0.8 6
"8...64" 0.27 -0.4 0.4 0.8 7
"9...65" 0.29 -0.4 0.4 0.8 8
"10...66" 0.26 -0.4 0.4 0.8 9
"11...67" 0.25 -0.4 0.4 0.8 10
"12...68" 0.45 -0.4 0.4 0.8 11
"13...69" 0.31 -0.4 0.4 0.8 12
"14...70" 0.42 -0.4 0.4 0.8 13
"15...71" 0.42 -0.4 0.4 0.8 14
"16...72" 0.45 -0.4 0.4 0.8 15
"17...73" 0.43 -0.4 0.4 0.8 16
"18...74" 0.56 -0.4 0.4 0.8 17
"19...75" 0.5 -0.4 0.4 0.8 18
"20...76" 0.56 -0.4 0.4 0.8 19
"21...77" 0.46 -0.4 0.4 0.8 20
"22...78" 0.6 -0.4 0.4 0.8 21
"23...79" 0.57 -0.4 0.4 0.8 22
"24...80" 0.69 -0.4 0.4 0.8 23
"25...81" 0.61 -0.4 0.4 0.8 24
"26...82" 0.69 -0.4 0.4 0.8 25
"27...83" 0.58 -0.4 0.4 0.8 26
"28...84" 0.66 -0.4 0.4 0.8 27
"29...85" 0.71 -0.4 0.4 0.8 28
"30...86" 0.7 -0.4 0.4 0.8 29
"31...87" 0.65 -0.4 0.4 0.8 30
"32...88" 0.8 -0.4 0.4 0.8 31
"33...89" 0.73 -0.4 0.4 0.8 32
"34...90" 0.77 -0.4 0.4 0.8 33
"35...91" 0.76 -0.4 0.4 0.8 34
"36...92" 0.78 -0.4 0.4 0.8 35
"37...93" 0.78 -0.4 0.4 0.8 36
"38...94" 0.78 -0.4 0.4 0.8 37
"39...95" 0.87 -0.4 0.4 0.8 38
"40...96" 0.88 -0.4 0.4 0.8 39
"41...97" 0.78 -0.4 0.4 0.8 40
"42...98" 0.84 -0.4 0.4 0.8 41
"43...99" 0.82 -0.4 0.4 0.8 42
"44...100" 0.79 -0.4 0.4 0.8 43
"45...101" 0.76 -0.4 0.4 0.8 44
"46...102" 0.83 -0.4 0.4 0.8 45
"47...103" 0.86 -0.4 0.4 0.8 46
"48...104" 0.85 -0.4 0.4 0.8 47
"49...105" 0.93 -0.4 0.4 0.8 48
"50...106" 0.89 -0.4 0.4 0.8 49
"51...107" 0.86 -0.4 0.4 0.8 50
"52...108" 0.87 -0.4 0.4 0.8 51
"53...109" 0.92 -0.4 0.4 0.8 52
"54...110" 0.93 -0.4 0.4 0.8 53
"55...111" 0.9 -0.4 0.4 0.8 54
"56...112" 0.89 -0.4 0.4 0.8 55
"57...113" 0.88 -0.4 0.4 0.8 56
"58...114" 0.96 -0.4 0.4 0.8 57
"2...115" 0.11 -0.4 0.6 0.8 1
"3...116" 0.14 -0.4 0.6 0.8 2
"4...117" 0.18 -0.4 0.6 0.8 3
"5...118" 0.19 -0.4 0.6 0.8 4
"6...119" 0.24 -0.4 0.6 0.8 5
"7...120" 0.26 -0.4 0.6 0.8 6
"8...121" 0.27 -0.4 0.6 0.8 7
"9...122" 0.29 -0.4 0.6 0.8 8
"10...123" 0.26 -0.4 0.6 0.8 9
"11...124" 0.25 -0.4 0.6 0.8 10
"12...125" 0.45 -0.4 0.6 0.8 11
"13...126" 0.31 -0.4 0.6 0.8 12
"14...127" 0.42 -0.4 0.6 0.8 13
"15...128" 0.42 -0.4 0.6 0.8 14
"16...129" 0.45 -0.4 0.6 0.8 15
"17...130" 0.43 -0.4 0.6 0.8 16
"18...131" 0.56 -0.4 0.6 0.8 17
"19...132" 0.5 -0.4 0.6 0.8 18
"20...133" 0.56 -0.4 0.6 0.8 19
"21...134" 0.46 -0.4 0.6 0.8 20
"22...135" 0.6 -0.4 0.6 0.8 21
"23...136" 0.57 -0.4 0.6 0.8 22
"24...137" 0.69 -0.4 0.6 0.8 23
"25...138" 0.61 -0.4 0.6 0.8 24
"26...139" 0.69 -0.4 0.6 0.8 25
"27...140" 0.58 -0.4 0.6 0.8 26
"28...141" 0.66 -0.4 0.6 0.8 27
"29...142" 0.71 -0.4 0.6 0.8 28
"30...143" 0.7 -0.4 0.6 0.8 29
"31...144" 0.65 -0.4 0.6 0.8 30
"32...145" 0.8 -0.4 0.6 0.8 31
"33...146" 0.73 -0.4 0.6 0.8 32
"34...147" 0.77 -0.4 0.6 0.8 33
"35...148" 0.76 -0.4 0.6 0.8 34
"36...149" 0.78 -0.4 0.6 0.8 35
"37...150" 0.78 -0.4 0.6 0.8 36
"38...151" 0.78 -0.4 0.6 0.8 37
"39...152" 0.87 -0.4 0.6 0.8 38
"40...153" 0.88 -0.4 0.6 0.8 39
"41...154" 0.78 -0.4 0.6 0.8 40
"42...155" 0.84 -0.4 0.6 0.8 41
"43...156" 0.82 -0.4 0.6 0.8 42
"44...157" 0.79 -0.4 0.6 0.8 43
"45...158" 0.76 -0.4 0.6 0.8 44
"46...159" 0.83 -0.4 0.6 0.8 45
"47...160" 0.86 -0.4 0.6 0.8 46
"48...161" 0.85 -0.4 0.6 0.8 47
"49...162" 0.93 -0.4 0.6 0.8 48
"50...163" 0.89 -0.4 0.6 0.8 49
"51...164" 0.86 -0.4 0.6 0.8 50
"52...165" 0.87 -0.4 0.6 0.8 51
"53...166" 0.92 -0.4 0.6 0.8 52
"54...167" 0.93 -0.4 0.6 0.8 53
"55...168" 0.9 -0.4 0.6 0.8 54
"56...169" 0.89 -0.4 0.6 0.8 55
"57...170" 0.88 -0.4 0.6 0.8 56
"58...171" 0.96 -0.4 0.6 0.8 57
"2...172" 0.11 -0.5 0.2 0.8 1
"3...173" 0.17 -0.5 0.2 0.8 2
"4...174" 0.21 -0.5 0.2 0.8 3
"5...175" 0.23 -0.5 0.2 0.8 4
"6...176" 0.25 -0.5 0.2 0.8 5
"7...177" 0.36 -0.5 0.2 0.8 6
"8...178" 0.36 -0.5 0.2 0.8 7
"9...179" 0.42 -0.5 0.2 0.8 8
"10...180" 0.37 -0.5 0.2 0.8 9
"11...181" 0.39 -0.5 0.2 0.8 10
"12...182" 0.61 -0.5 0.2 0.8 11
"13...183" 0.43 -0.5 0.2 0.8 12
"14...184" 0.54 -0.5 0.2 0.8 13
"15...185" 0.57 -0.5 0.2 0.8 14
"16...186" 0.59 -0.5 0.2 0.8 15
"17...187" 0.58 -0.5 0.2 0.8 16
"18...188" 0.68 -0.5 0.2 0.8 17
"19...189" 0.65 -0.5 0.2 0.8 18
"20...190" 0.64 -0.5 0.2 0.8 19
"21...191" 0.64 -0.5 0.2 0.8 20
"22...192" 0.77 -0.5 0.2 0.8 21
"23...193" 0.76 -0.5 0.2 0.8 22
"24...194" 0.8 -0.5 0.2 0.8 23
"25...195" 0.73 -0.5 0.2 0.8 24
"26...196" 0.85 -0.5 0.2 0.8 25
"27...197" 0.73 -0.5 0.2 0.8 26
"28...198" 0.83 -0.5 0.2 0.8 27
"29...199" 0.81 -0.5 0.2 0.8 28
"30...200" 0.83 -0.5 0.2 0.8 29
"31...201" 0.84 -0.5 0.2 0.8 30
"32...202" 0.93 -0.5 0.2 0.8 31
"33...203" 0.84 -0.5 0.2 0.8 32
"34...204" 0.92 -0.5 0.2 0.8 33
"35...205" 0.9 -0.5 0.2 0.8 34
"36...206" 0.88 -0.5 0.2 0.8 35
"37...207" 0.93 -0.5 0.2 0.8 36
"38...208" 0.91 -0.5 0.2 0.8 37
"39...209" 0.94 -0.5 0.2 0.8 38
"40...210" 0.97 -0.5 0.2 0.8 39
"2...211" 0.11 -0.5 0.4 0.8 1
"3...212" 0.17 -0.5 0.4 0.8 2
"4...213" 0.21 -0.5 0.4 0.8 3
"5...214" 0.23 -0.5 0.4 0.8 4
"6...215" 0.25 -0.5 0.4 0.8 5
"7...216" 0.36 -0.5 0.4 0.8 6
"8...217" 0.36 -0.5 0.4 0.8 7
"9...218" 0.42 -0.5 0.4 0.8 8
"10...219" 0.37 -0.5 0.4 0.8 9
"11...220" 0.39 -0.5 0.4 0.8 10
"12...221" 0.61 -0.5 0.4 0.8 11
"13...222" 0.43 -0.5 0.4 0.8 12
"14...223" 0.54 -0.5 0.4 0.8 13
"15...224" 0.57 -0.5 0.4 0.8 14
"16...225" 0.59 -0.5 0.4 0.8 15
"17...226" 0.58 -0.5 0.4 0.8 16
"18...227" 0.68 -0.5 0.4 0.8 17
"19...228" 0.65 -0.5 0.4 0.8 18
"20...229" 0.64 -0.5 0.4 0.8 19
"21...230" 0.64 -0.5 0.4 0.8 20
"22...231" 0.77 -0.5 0.4 0.8 21
"23...232" 0.76 -0.5 0.4 0.8 22
"24...233" 0.8 -0.5 0.4 0.8 23
"25...234" 0.73 -0.5 0.4 0.8 24
"26...235" 0.85 -0.5 0.4 0.8 25
"27...236" 0.73 -0.5 0.4 0.8 26
"28...237" 0.83 -0.5 0.4 0.8 27
"29...238" 0.81 -0.5 0.4 0.8 28
"30...239" 0.83 -0.5 0.4 0.8 29
"31...240" 0.84 -0.5 0.4 0.8 30
"32...241" 0.93 -0.5 0.4 0.8 31
"33...242" 0.84 -0.5 0.4 0.8 32
"34...243" 0.92 -0.5 0.4 0.8 33
"35...244" 0.9 -0.5 0.4 0.8 34
"36...245" 0.88 -0.5 0.4 0.8 35
"37...246" 0.93 -0.5 0.4 0.8 36
"38...247" 0.91 -0.5 0.4 0.8 37
"39...248" 0.94 -0.5 0.4 0.8 38
"40...249" 0.97 -0.5 0.4 0.8 39
"2...250" 0.11 -0.5 0.6 0.8 1
"3...251" 0.17 -0.5 0.6 0.8 2
"4...252" 0.21 -0.5 0.6 0.8 3
"5...253" 0.23 -0.5 0.6 0.8 4
"6...254" 0.25 -0.5 0.6 0.8 5
"7...255" 0.36 -0.5 0.6 0.8 6
"8...256" 0.36 -0.5 0.6 0.8 7
"9...257" 0.42 -0.5 0.6 0.8 8
"10...258" 0.37 -0.5 0.6 0.8 9
"11...259" 0.39 -0.5 0.6 0.8 10
"12...260" 0.61 -0.5 0.6 0.8 11
"13...261" 0.43 -0.5 0.6 0.8 12
"14...262" 0.54 -0.5 0.6 0.8 13
"15...263" 0.57 -0.5 0.6 0.8 14
